XSRRCR,XRETH4R,XSEXR,XCPAY1R,NSAMP,NSTRAT,STRATUM,RESPSTAT2
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,2,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
2,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,2,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,3,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,2,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,2,456,40169,1,1
1,2,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,3,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,2,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,3,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,2,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,2,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
1,1,1,1,456,40169,1,1
8,2,1,1,456,40169,1,3
8,2,1,1,456,40169,1,3
8,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,4
1,1,1,1,456,40169,1,4
1,1,1,2,456,40169,1,4
1,1,1,2,456,40169,1,4
1,1,1,2,456,40169,1,4
1,1,1,1,456,40169,1,4
1,1,1,1,456,40169,1,4
1,1,1,1,456,40169,1,4
1,2,1,1,456,40169,1,4
1,2,1,1,456,40169,1,4
1,2,1,1,456,40169,1,4
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,2,1,1,456,40169,1,2
1,2,1,1,456,40169,1,2
1,2,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,3,456,40169,1,2
1,1,1,3,456,40169,1,2
1,1,1,3,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,2,1,1,456,40169,1,2
1,2,1,1,456,40169,1,2
1,2,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,3,456,40169,1,2
1,1,1,3,456,40169,1,2
1,1,1,3,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,3,456,40169,1,2
1,1,1,3,456,40169,1,2
1,1,1,3,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,2,1,1,456,40169,1,2
1,2,1,1,456,40169,1,2
1,2,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,2,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,2
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,1,456,40169,1,3
1,1,1,2,19,334,2,1
1,1,1,2,19,334,2,1
1,1,1,3,19,334,2,1
1,1,1,2,19,334,2,1
1,1,1,2,19,334,2,1
1,1,1,2,19,334,2,1
1,1,1,3,19,334,2,1
1,1,1,2,19,334,2,2
1,1,1,2,19,334,2,2
1,1,1,2,19,334,2,2
1,1,1,3,19,334,2,2
1,1,1,2,19,334,2,2
1,1,1,2,19,334,2,2
1,1,1,2,19,334,2,2
1,1,1,2,19,334,2,2
1,1,1,3,19,334,2,2
