idno,psu,stratify,TVTOT,TRSTPLC,VOTE,LRSCALE,STFLIFE,STFECO,STFGOV,HEALTH,GNDR,AGEA,EISCED,DWEIGHT,PSPWGHT,male,agecat,marcat,voted_lastelection,lr3cat
1,122807,Central FO,0,1,2,5,7,5,5,2,1,22,4,1.12,1.18,1,1,3,0,2
2,122807,Central FO,4,2,2,6,7,5,7,2,2,27,5,1.49,1.38,0,1,3,0,3
3,122807,Central FO,1,2,2,7,5,8,6,1,2,23,7,0.37,0.4,0,1,3,0,3
4,122807,Central FO,4,5,2,5,7,5,5,3,2,27,5,1.12,1.04,0,1,3,0,2
5,122807,Central FO,2,3,2,5,8,4,3,2,2,23,7,1.12,1.2,0,1,3,0,2
6,122807,Central FO,4,3,2,5,8,6,6,2,1,29,7,0.74,0.88,1,1,1,0,2
7,122807,Central FO,4,2,2,88,8,6,4,1,2,30,7,0.37,0.4,0,2,3,0,
8,122807,Central FO,2,2,1,5,3,4,4,2,1,29,5,1.12,1.18,1,1,3,1,2
14,101807,Central FO,1,,1,88,6,6,,2,2,36,7,0.69,0.52,0,2,2,1,
17,110807,Central FO,7,5,1,88,8,,5,4,2,72,4,1.49,1.43,0,4,2,1,
18,110807,Central FO,,4,1,88,7,3,3,1,2,36,6,1.49,1.12,0,2,1,1,
19,110807,Central FO,6,1,1,88,5,0,4,4,2,72,5,0.74,0.71,0,4,1,1,
20,110807,Central FO,,5,1,88,7,3,4,2,2,32,7,0.74,0.8,0,2,1,1,
21,110807,Central FO,7,7,1,5,9,,7,2,2,19,4,1.49,1.38,0,1,3,1,2
22,199807,Central FO,6,5,1,5,9,,3,2,2,19,4,1.34,1.24,0,1,3,1,2
23,199807,Central FO,7,5,1,5,7,2,5,3,2,53,4,1.34,1.07,0,3,1,1,2
24,199807,Central FO,,1,3,5,8,,,2,1,17,2,1.34,2.02,1,1,3,0,2
25,199807,Central FO,4,3,2,88,8,3,4,2,2,42,4,0.67,0.53,0,2,2,0,
26,107807,Central FO,4,0,1,5,5,1,3,3,2,65,7,0.69,0.44,0,4,2,1,2
