"","XSRRCR","XRETH4R","XSEXR","XCPAY1R","NSAMP","NSTRAT","STRATUM","RESPSTAT2","weight"
"1","1",1,1,1,456,40169,1,1,338.16911808002
"2","1",1,1,1,456,40169,1,1,338.16911808002
"3","1",1,1,2,456,40169,1,1,338.16911808002
"4","1",1,1,1,456,40169,1,1,338.16911808002
"5","1",2,1,1,456,40169,1,1,460.880420785248
"6","1",1,1,1,456,40169,1,1,338.16911808002
"7","2",1,1,1,456,40169,1,1,338.16911808002
"8","1",1,1,2,456,40169,1,1,338.16911808002
"9","1",1,1,1,456,40169,1,1,338.16911808002
"10","1",1,1,1,456,40169,1,1,338.16911808002
"11","1",1,1,1,456,40169,1,1,338.16911808002
"12","1",1,1,1,456,40169,1,1,338.16911808002
"13","1",2,1,1,456,40169,1,1,460.880420785248
"14","1",1,1,1,456,40169,1,1,338.16911808002
"15","1",1,1,1,456,40169,1,1,338.16911808002
"16","1",1,1,1,456,40169,1,1,338.16911808002
"17","1",1,1,2,456,40169,1,1,338.16911808002
"18","1",1,1,1,456,40169,1,1,338.16911808002
"19","1",1,1,1,456,40169,1,1,338.16911808002
"20","1",1,1,2,456,40169,1,1,338.16911808002
"21","1",1,1,2,456,40169,1,1,338.16911808002
"22","1",1,1,1,456,40169,1,1,338.16911808002
"23","1",1,1,3,456,40169,1,1,204.707832738288
"24","1",1,1,1,456,40169,1,1,338.16911808002
"25","1",1,1,1,456,40169,1,1,338.16911808002
"26","1",1,1,1,456,40169,1,1,338.16911808002
"27","1",1,1,1,456,40169,1,1,338.16911808002
"28","1",1,1,1,456,40169,1,1,338.16911808002
"29","1",1,1,1,456,40169,1,1,338.16911808002
"30","1",1,1,1,456,40169,1,1,338.16911808002
"31","1",1,1,1,456,40169,1,1,338.16911808002
"32","1",1,1,1,456,40169,1,1,338.16911808002
"33","1",1,1,1,456,40169,1,1,338.16911808002
"34","1",1,1,2,456,40169,1,1,338.16911808002
"35","1",1,1,1,456,40169,1,1,338.16911808002
"36","1",1,1,1,456,40169,1,1,338.16911808002
"37","1",1,1,1,456,40169,1,1,338.16911808002
"38","1",1,1,1,456,40169,1,1,338.16911808002
"39","1",1,1,1,456,40169,1,1,338.16911808002
"40","1",1,1,2,456,40169,1,1,338.16911808002
"41","1",1,1,2,456,40169,1,1,338.16911808002
"42","1",1,1,2,456,40169,1,1,338.16911808002
"43","1",1,1,2,456,40169,1,1,338.16911808002
"44","1",1,1,1,456,40169,1,1,338.16911808002
"45","1",1,1,1,456,40169,1,1,338.16911808002
"46","1",1,2,1,456,40169,1,1,338.16911808002
"47","1",1,1,1,456,40169,1,1,338.16911808002
"48","1",1,1,2,456,40169,1,1,338.16911808002
"49","1",1,1,2,456,40169,1,1,338.16911808002
"50","1",2,1,1,456,40169,1,1,460.880420785248
"51","1",1,1,1,456,40169,1,1,338.16911808002
"52","1",1,1,1,456,40169,1,1,338.16911808002
"53","1",1,1,1,456,40169,1,1,338.16911808002
"54","1",1,1,1,456,40169,1,1,338.16911808002
"55","1",1,1,2,456,40169,1,1,338.16911808002
"56","1",1,1,1,456,40169,1,1,338.16911808002
"57","1",1,1,1,456,40169,1,1,338.16911808002
"58","1",1,1,1,456,40169,1,1,338.16911808002
"59","1",1,1,1,456,40169,1,1,338.16911808002
"60","1",1,1,3,456,40169,1,1,204.707832738288
"61","1",1,1,1,456,40169,1,1,338.16911808002
"62","1",1,2,1,456,40169,1,1,338.16911808002
"63","1",1,1,2,456,40169,1,1,338.16911808002
